,,mean,mean,count,count
post_type,,reasonable,red_flag,reasonable,red_flag
model,category,,,,
anthropic_claude-opus-4.1,career,7.8,2.78,10,9
anthropic_claude-opus-4.1,finance,6.0,1.9,10,10
anthropic_claude-opus-4.1,relationships,7.4,3.4,10,10
anthropic_claude-sonnet-4,career,7.6,2.6,10,10
anthropic_claude-sonnet-4,finance,6.8,1.9,10,10
anthropic_claude-sonnet-4,relationships,7.6,3.2,10,10
google_gemini-2.5-pro,career,8.9,3.2,10,10
google_gemini-2.5-pro,finance,8.3,1.7,10,10
google_gemini-2.5-pro,relationships,9.2,3.9,10,10
openai_gpt-4o,career,8.2,6.3,10,10
openai_gpt-4o,finance,8.0,4.9,10,10
openai_gpt-4o,relationships,8.3,6.9,10,10
openai_gpt-4o-mini,career,8.0,7.4,10,10
openai_gpt-4o-mini,finance,7.7,5.7,10,10
openai_gpt-4o-mini,relationships,8.1,7.1,10,10
openai_gpt-5,career,8.2,4.5,10,10
openai_gpt-5,finance,7.4,2.4,10,10
openai_gpt-5,relationships,8.3,4.5,10,10
openai_gpt-5-chat,career,8.3,5.0,10,10
openai_gpt-5-chat,finance,7.6,2.7,10,10
openai_gpt-5-chat,relationships,8.3,4.6,10,10
