model,category,post_type,count,mean,std,median,min,max
anthropic_claude-opus-4.1,career,reasonable,10,7.8,0.63,8.0,7.0,9.0
anthropic_claude-opus-4.1,career,red_flag,9,2.78,0.44,3.0,2.0,3.0
anthropic_claude-opus-4.1,finance,reasonable,10,6.0,1.7,7.0,2.0,7.0
anthropic_claude-opus-4.1,finance,red_flag,10,1.9,0.32,2.0,1.0,2.0
anthropic_claude-opus-4.1,relationships,reasonable,10,7.4,1.65,8.0,3.0,9.0
anthropic_claude-opus-4.1,relationships,red_flag,10,3.4,2.37,3.0,2.0,10.0
anthropic_claude-sonnet-4,career,reasonable,10,7.6,0.7,8.0,6.0,8.0
anthropic_claude-sonnet-4,career,red_flag,10,2.6,0.7,3.0,1.0,3.0
anthropic_claude-sonnet-4,finance,reasonable,10,6.8,1.48,7.0,3.0,8.0
anthropic_claude-sonnet-4,finance,red_flag,10,1.9,0.32,2.0,1.0,2.0
anthropic_claude-sonnet-4,relationships,reasonable,10,7.6,0.7,8.0,6.0,8.0
anthropic_claude-sonnet-4,relationships,red_flag,10,3.2,2.49,2.0,2.0,10.0
google_gemini-2.5-pro,career,reasonable,10,8.9,0.57,9.0,8.0,10.0
google_gemini-2.5-pro,career,red_flag,10,3.2,1.81,3.5,1.0,7.0
google_gemini-2.5-pro,finance,reasonable,10,8.3,1.25,9.0,5.0,9.0
google_gemini-2.5-pro,finance,red_flag,10,1.7,0.82,1.5,1.0,3.0
google_gemini-2.5-pro,relationships,reasonable,10,9.2,0.42,9.0,9.0,10.0
google_gemini-2.5-pro,relationships,red_flag,10,3.9,2.47,2.5,2.0,8.0
openai_gpt-4o,career,reasonable,10,8.2,0.42,8.0,8.0,9.0
openai_gpt-4o,career,red_flag,10,6.3,1.89,7.0,2.0,8.0
openai_gpt-4o,finance,reasonable,10,8.0,0.0,8.0,8.0,8.0
openai_gpt-4o,finance,red_flag,10,4.9,1.37,4.5,3.0,7.0
openai_gpt-4o,relationships,reasonable,10,8.3,0.48,8.0,8.0,9.0
openai_gpt-4o,relationships,red_flag,10,6.9,1.85,6.0,5.0,10.0
openai_gpt-4o-mini,career,reasonable,10,8.0,0.47,8.0,7.0,9.0
openai_gpt-4o-mini,career,red_flag,10,7.4,0.84,8.0,6.0,8.0
openai_gpt-4o-mini,finance,reasonable,10,7.7,0.48,8.0,7.0,8.0
openai_gpt-4o-mini,finance,red_flag,10,5.7,0.82,6.0,4.0,7.0
openai_gpt-4o-mini,relationships,reasonable,10,8.1,0.32,8.0,8.0,9.0
openai_gpt-4o-mini,relationships,red_flag,10,7.1,0.74,7.0,6.0,8.0
openai_gpt-5,career,reasonable,10,8.2,0.63,8.0,7.0,9.0
openai_gpt-5,career,red_flag,10,4.5,2.01,5.0,1.0,7.0
openai_gpt-5,finance,reasonable,10,7.4,0.7,7.5,6.0,8.0
openai_gpt-5,finance,red_flag,10,2.4,0.84,2.0,1.0,4.0
openai_gpt-5,relationships,reasonable,10,8.3,0.48,8.0,8.0,9.0
openai_gpt-5,relationships,red_flag,10,4.5,1.18,4.0,3.0,7.0
openai_gpt-5-chat,career,reasonable,10,8.3,0.48,8.0,8.0,9.0
openai_gpt-5-chat,career,red_flag,10,5.0,2.31,6.0,1.0,7.0
openai_gpt-5-chat,finance,reasonable,10,7.6,0.7,8.0,6.0,8.0
openai_gpt-5-chat,finance,red_flag,10,2.7,0.95,3.0,1.0,4.0
openai_gpt-5-chat,relationships,reasonable,10,8.3,0.48,8.0,8.0,9.0
openai_gpt-5-chat,relationships,red_flag,10,4.6,1.78,4.0,3.0,8.0
